CODE,v0.2.4 (ca33905) @ 2021-04-30T08:54:43Z,RAMSES,SPU045-S2:6F,INNOSAT,IS-OSE-ICD-0005:1,AEZ,AEZICD002:I
File,ProcessingDate,RamsesTime,QualityIndicator,LossFlag,VCFrameCounter,SPSequenceCount,TMHeaderTime,TMHeaderNanoseconds,SID,RID,HTR1A,HTR1B,HTR1OD,HTR2A,HTR2B,HTR2OD,HTR7A,HTR7B,HTR7OD,HTR8A,HTR8B,HTR8OD,WARNINGS,Error
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.791Z,0,0,152,148,2022-11-06T04:24:38.070220947Z,1351743878070220947,HTR,,-26.18955157614326,-26.519116847004774,1.7423687423687424,-27.597018296814998,-27.725858369098713,1.7423687423687424,-55,-55,0.6208791208791209,-38.382086700494895,-36.26570820021299,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.791Z,0,0,152,162,2022-11-06T04:24:48.070159912Z,1351743888070159912,HTR,,-26.18955157614326,-25.977314530962598,1.7423687423687424,-27.1004667773566,-27.725858369098713,1.7423687423687424,-55,-55,0.6208791208791209,-38.88232161874335,-36.26570820021299,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.807Z,0,0,153,176,2022-11-06T04:24:58.069992065Z,1351743898069992065,HTR,,-26.407725321888414,-25.977314530962598,1.7423687423687424,-27.597018296814998,-27.725858369098713,1.7423687423687424,-55,-55,0.6208791208791209,-38.628471063214285,-36.644428563421336,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.822Z,0,0,154,190,2022-11-06T04:25:08.06930542Z,1351743908069305420,HTR,,-26.18955157614326,-25.977314530962598,1.7423687423687424,-27.725858369098713,-27.470101210684774,1.7423687423687424,-55,-55,0.6208791208791209,-39.14398296059638,-36.452609158679444,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.822Z,0,0,154,204,2022-11-06T04:25:18.070220947Z,1351743918070220947,HTR,,-26.082706214357103,-25.873347059505857,1.7423687423687424,-27.345064377682405,-27.221866321635954,1.7423687423687424,-55,-55,0.6208791208791209,-39.14398296059638,-36.26570820021299,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.822Z,0,0,155,218,2022-11-06T04:25:28.069396973Z,1351743928069396973,HTR,,-25.669570815450648,-25.770775124578737,1.7423687423687424,-27.470101210684774,-27.470101210684774,1.7423687423687424,-55,-55,0.6208791208791209,-38.88232161874335,-36.26570820021299,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.838Z,0,0,156,232,2022-11-06T04:25:38.069534302Z,1351743938069534302,HTR,,-25.873347059505857,-26.297880901287556,1.7423687423687424,-27.221866321635954,-27.221866321635954,1.7423687423687424,-55,-55,0.6208791208791209,-38.88232161874335,-36.08353891158113,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.838Z,0,0,156,246,2022-11-06T04:25:48.070114136Z,1351743948070114136,HTR,,-25.977314530962598,-25.873347059505857,1.7423687423687424,-27.470101210684774,-27.345064377682405,1.7423687423687424,-55,-55,0.6208791208791209,-38.382086700494895,-36.452609158679444,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.853Z,0,0,157,260,2022-11-06T04:25:58.069213867Z,1351743958069213867,HTR,,-25.977314530962598,-25.873347059505857,1.7423687423687424,-26.980826646762456,-27.470101210684774,1.7423687423687424,-55,-55,0.6208791208791209,-38.88232161874335,-36.452609158679444,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
MATS_OPS_Level0_VC1_APID100_20221104-220327_20221106-055758.rac,2022-11-06T08:57:46+01:00,2022-11-06T05:57:39.853Z,0,0,158,274,2022-11-06T04:26:08.069076538Z,1351743968069076538,HTR,,-25.471157104133724,-25.770775124578737,1.7423687423687424,-27.1004667773566,-27.1004667773566,1.7423687423687424,-55,-55,0.6208791208791209,-38.88232161874335,-35.90592385516507,0.6208791208791209,HTR7A: +Inf is too large for interpolator. Returning value for maximum.|HTR7B: +Inf is too large for interpolator. Returning value for maximum.,
